name,domain,city,status,pages_checked,address_candidates,next_action
Lexis Nexis AU,lexisnexis.com.au,Sydney,no_candidate_found,https://www.lexisnexis.com/en-au | https://www.lexisnexis.com/en-au/contact | https://www.lexisnexis.com/en-au/contact-us | https://www.lexisnexis.com/en-au/locations | https://www.lexisnexis.com/en-au/support,,Verify candidate text on the cited first-party page before geocoding.
Juno Journey AU,junojourney.com,Melbourne,no_candidate_found,https://www.junojourney.com/ | https://www.junojourney.com/contact | https://www.junojourney.com/contact-us | https://www.junojourney.com/locations | https://www.junojourney.com/support,,Verify candidate text on the cited first-party page before geocoding.
1spatial AU,1spatial.com,Sydney,address_candidate_needs_verification,https://1spatial.com/ | https://1spatial.com/contact | https://1spatial.com/contact-us | https://1spatial.com/locations | https://1spatial.com/support,44 Market Street Sydney NSW 2000 | 29 Kiora Road Miranda NSW 2228,Verify candidate text on the cited first-party page before geocoding.
Cohort Go,cohortgo.com,Brisbane,no_candidate_found,https://www.flywire.com/ | https://www.flywire.com/company/contact | https://www.flywire.com/contact-us | https://www.flywire.com/locations | https://help.flywire.com/hc/en-us,,Verify candidate text on the cited first-party page before geocoding.
Beforepay,beforepay.com.au,Sydney,address_candidate_needs_verification,https://www.beforepay.com.au:443/ | https://www.beforepay.com.au:443/contact | https://help.beforepay.com.au/en/articles/6069245-how-do-i-contact-customer-support | https://www.beforepay.com.au:443/locations | https://help.beforepay.com.au/en/,"77 Castlereagh Street, Sydney NSW 2000",Verify candidate text on the cited first-party page before geocoding.
Lumi Business,lumi.com.au,Sydney,no_candidate_found,https://www.lumi.com.au/ | https://www.lumi.com.au/contact | https://www.lumi.com.au/contact-us | https://www.lumi.com.au/locations | https://www.lumi.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Stockspot,stockspot.com.au,Sydney,no_candidate_found,https://stockspot.com.au/ | https://stockspot.com.au/contact | https://stockspot.com.au/contact-us/ | https://stockspot.com.au/locations | https://stockspot.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Pearler,pearler.com,Sydney,address_candidate_needs_verification,https://pearler.com/ | https://pearler.com/contact | https://pearler.com/contact-us | https://pearler.com/locations | https://pearler.com/support,"56 Clarence Street, Sydney NSW 2000",Verify candidate text on the cited first-party page before geocoding.
Selfwealth,selfwealth.com.au,Melbourne,no_candidate_found,https://www.selfwealth.com.au/ | https://www.selfwealth.com.au/contact-us | https://www.selfwealth.com.au/locations | https://www.selfwealth.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
iSelect,iselect.com.au,Melbourne,no_candidate_found,https://www.iselect.com.au/ | https://www.iselect.com.au/contact | https://www.iselect.com.au/contact-us/ | https://www.iselect.com.au/locations | https://www.iselect.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Choosi,choosi.com.au,Sydney,no_candidate_found,https://www.choosi.com.au/ | https://www.choosi.com.au/contact | https://www.choosi.com.au/contact-us | https://www.choosi.com.au/locations | https://www.choosi.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Elmo Software,elmosoftware.com.au,Sydney,address_candidate_needs_verification,https://elmosoftware.com.au/ | https://elmosoftware.com.au/contact | https://elmosoftware.com.au/contact-us | https://elmosoftware.com.au/locations | https://elmosoftware.com.au/support,580 George Street Sydney NSW 2000 | 390 Collins Street Melbourne VIC 3000 | 127 Creek Street Brisbane QLD 4000,Verify candidate text on the cited first-party page before geocoding.
Coassemble,coassemble.com,Newcastle,no_candidate_found,https://coassemble.com/ | https://coassemble.com/contact | https://coassemble.com/contact-us | https://coassemble.com/locations | https://coassemble.com/support,,Verify candidate text on the cited first-party page before geocoding.
